DATE,DEXKOUS
2013-01-15,1057.6200
2013-01-16,1058.3500
2013-01-17,1057.8200
2013-01-18,1058.4000
2013-01-21,.
2013-01-22,1062.9500
2013-01-23,1067.0200
2013-01-24,1067.9500
2013-01-25,1075.3300
2013-01-28,1091.2200
2013-01-29,1082.4000
2013-01-30,1085.8500
2013-01-31,1087.4600
2013-02-01,1094.7900
2013-02-04,1089.3500
2013-02-05,1086.1700
2013-02-06,1089.0000
2013-02-07,1090.1500
2013-02-08,1095.6500
2013-02-11,1095.5000
2013-02-12,1093.1300
2013-02-13,1085.7200
2013-02-14,1085.1400
2013-02-15,1078.2200
2013-02-18,.
2013-02-19,1079.6500
2013-02-20,1079.8500
2013-02-21,1086.8000
2013-02-22,1085.0300
2013-02-25,1086.0000
2013-02-26,1089.8200
2013-02-27,1084.9900
2013-02-28,1083.9000
2013-03-01,1083.9000
2013-03-04,1090.8000
2013-03-05,1086.5800
2013-03-06,1084.3600
2013-03-07,1087.4900
2013-03-08,1089.1500
2013-03-11,1093.9000
2013-03-12,1095.2800
2013-03-13,1098.4200
2013-03-14,1107.4900
2013-03-15,1110.6200
2013-03-18,1114.1900
2013-03-19,1112.9300
2013-03-20,1115.6200
2013-03-21,1115.4100
