DATE,DTWEXM
2012-07-20,75.4024
2012-07-23,75.7182
2012-07-24,75.9313
2012-07-25,75.7076
2012-07-26,75.0385
2012-07-27,74.7399
2012-07-30,74.9219
2012-07-31,74.6945
2012-08-01,74.7860
2012-08-02,75.3306
2012-08-03,74.5179
2012-08-06,74.3743
2012-08-07,74.4028
2012-08-08,74.4601
2012-08-09,74.6770
2012-08-10,74.5184
2012-08-13,74.4837
2012-08-14,74.5443
2012-08-15,74.6081
2012-08-16,74.4575
2012-08-17,74.6374
2012-08-20,74.5529
2012-08-21,74.1381
2012-08-22,74.2456
2012-08-23,73.8065
2012-08-24,73.9778
2012-08-27,73.9805
2012-08-28,73.7641
2012-08-29,73.8923
2012-08-30,74.1145
2012-08-31,73.6939
2012-09-03,.
2012-09-04,73.7638
2012-09-05,73.7657
2012-09-06,73.6231
2012-09-07,72.9164
2012-09-10,72.9035
2012-09-11,72.5586
2012-09-12,72.5405
2012-09-13,72.4362
2012-09-14,71.8680
2012-09-17,72.0230
2012-09-18,72.2219
2012-09-19,72.1567
2012-09-20,72.4957
2012-09-21,72.3195
2012-09-24,72.5839
2012-09-25,72.4148
2012-09-26,72.8283
2012-09-27,72.6268
2012-09-28,72.8154
2012-10-01,72.7076
2012-10-02,72.5966
2012-10-03,72.9500
2012-10-04,72.5651
2012-10-05,72.3307
2012-10-08,.
2012-10-09,72.8360
2012-10-10,72.7910
2012-10-11,72.7091
2012-10-12,72.6618
2012-10-15,72.6846
2012-10-16,72.6368
2012-10-17,72.2128
2012-10-18,72.3801
2012-10-19,72.8973
2012-10-22,72.9086
2012-10-23,73.1677
2012-10-24,73.2131
2012-10-25,73.1740
2012-10-26,73.2628
2012-10-29,73.4193
2012-10-30,73.1477
2012-10-31,73.2459
2012-11-01,73.2682
2012-11-02,73.5695
2012-11-05,73.6770
2012-11-06,73.5507
2012-11-07,73.7054
2012-11-08,73.7565
2012-11-09,73.8590
2012-11-12,.
2012-11-13,73.8723
2012-11-14,73.9629
2012-11-15,74.0324
2012-11-16,74.2345
2012-11-19,73.8121
2012-11-20,73.8946
2012-11-21,74.0085
2012-11-22,.
2012-11-23,73.4759
2012-11-26,73.4720
2012-11-27,73.5317
2012-11-28,73.4960
2012-11-29,73.4647
2012-11-30,73.4087
2012-12-03,73.2017
2012-12-04,73.1014
2012-12-05,73.1609
2012-12-06,73.4024
2012-12-07,73.4490
2012-12-10,73.4234
2012-12-11,73.2641
2012-12-12,73.2156
2012-12-13,73.1705
2012-12-14,73.0570
2012-12-17,72.9368
2012-12-18,72.8540
2012-12-19,72.8467
2012-12-20,72.9576
2012-12-21,73.2351
2012-12-24,73.2845
2012-12-25,.
2012-12-26,73.3523
2012-12-27,73.4301
2012-12-28,73.4337
2012-12-31,73.5633
2013-01-01,.
2013-01-02,73.3738
2013-01-03,73.5749
2013-01-04,73.9555
2013-01-07,73.7475
2013-01-08,73.8200
2013-01-09,73.8665
2013-01-10,73.4917
